"rank","title","price","rating","link","SKU","image_link"
"#17","Nido Fortified Milk Powder Pouch, 2500 g","SAR 63.95","4.4","https://www.amazon.sa//-/en/Nido-Fortified-Milk-Powder-Pouch/dp/B09PL48CL7/ref=zg_bs_g_grocery_d_sccl_17/259-0546858-3618953?psc=1","B09PL48CL7","https://images-eu.ssl-images-amazon.com/images/I/71xcKYO4JGL._AC_UL600_SR600,400_.jpg"
"#18","Al aila indian white basmati rice - 10kg","SAR 75.95","4.5","https://www.amazon.sa//-/en/Al-aila-indian-white-basmati/dp/B08YY95ZLH/ref=zg_bs_g_grocery_d_sccl_18/259-0546858-3618953?psc=1","B08YY95ZLH","https://images-eu.ssl-images-amazon.com/images/I/71EYEWyOLFL._AC_UL600_SR600,400_.jpg"
"#19","Berain Water Bottle - Size 28X600 Milliliters","SAR 13.95","4.5","https://www.amazon.sa//-/en/Berain-Water-Bottle-28X600-Milliliters/dp/B0871V2G29/ref=zg_bs_g_grocery_d_sccl_19/259-0546858-3618953?psc=1","B0871V2G29","https://images-eu.ssl-images-amazon.com/images/I/61jUA9HRozL._AC_UL600_SR600,400_.jpg"
"#20","Nakhlatain Vegetable Oil, 1.5L - Pack of 1","SAR 12.50","4.6","https://www.amazon.sa//-/en/Nakhlatain-Vegetable-Oil-1-5L-Pack/dp/B07NF841XT/ref=zg_bs_g_grocery_d_sccl_20/259-0546858-3618953?psc=1","B07NF841XT","https://images-eu.ssl-images-amazon.com/images/I/71potF4bd7L._AC_UL600_SR600,400_.jpg"
"#21","Nestle Country Corn Flakes Breakfast Cereal Pack, 1Kg","SAR 28.95","4.7","https://www.amazon.sa//-/en/Nestle-Country-Flakes-Breakfast-Cereal/dp/B082VXDT2P/ref=zg_bs_g_grocery_d_sccl_21/259-0546858-3618953?psc=1","B082VXDT2P","https://images-eu.ssl-images-amazon.com/images/I/81E2Ml0vliL._AC_UL600_SR600,400_.jpg"
"#22","Saudia Tomato Paste, 16 X 135g","SAR 20.95","4.7","https://www.amazon.sa//-/en/Saudia-Tomato-Paste-16-135g/dp/B09S3L8D91/ref=zg_bs_g_grocery_d_sccl_22/259-0546858-3618953?psc=1","B09S3L8D91","https://images-eu.ssl-images-amazon.com/images/I/71lCImJIflL._AC_UL600_SR600,400_.jpg"
"#23","Safa Makkah Water Plastic Bottle, 40 X 330 ml - Pack of 1","SAR 16.66","4.3","https://www.amazon.sa//-/en/Safa-Makkah-Water-Plastic-Bottle/dp/B08KZ66TH2/ref=zg_bs_g_grocery_d_sccl_23/259-0546858-3618953?psc=1","B08KZ66TH2","https://images-eu.ssl-images-amazon.com/images/I/51RhC-xsDML._AC_UL600_SR600,400_.jpg"
"#24","Abu Zahra Sunflower Oil 1.5L Sp","SAR 13.50","4.6","https://www.amazon.sa//-/en/Abu-Zahra-Sunflower-Oil-1-5L/dp/B07NF7GBZY/ref=zg_bs_g_grocery_d_sccl_24/259-0546858-3618953?psc=1","B07NF7GBZY","https://images-eu.ssl-images-amazon.com/images/I/817-10dddoL._AC_UL600_SR600,400_.jpg"
"#25","Ulker Tea Biscuits, 12 X 70G","SAR 12.71","4.6","https://www.amazon.sa//-/en/Ulker-Tea-Biscuits-12-70G/dp/B08KXDQQCF/ref=zg_bs_g_grocery_d_sccl_25/259-0546858-3618953?psc=1","B08KXDQQCF","https://images-eu.ssl-images-amazon.com/images/I/81ks785XV1L._AC_UL600_SR600,400_.jpg"
"#26","Lipton Yellow Label Black Tea Loose, 400g","SAR 12.00","4.3","https://www.amazon.sa//-/en/Lipton-Yellow-Label-Black-Loose/dp/B07PCM7ZLG/ref=zg_bs_g_grocery_d_sccl_26/259-0546858-3618953?psc=1","B07PCM7ZLG","https://images-eu.ssl-images-amazon.com/images/I/81mso0P0eML._AC_UL600_SR600,400_.jpg"
