"rank","title","price","rating","link","SKU","image_link"
"#51","UGREEN iPhone 15 Pro Max Case MagSafe 【Stronger N52 Magnet】 【Military Grade Shockproof Protection】15 Pro Max Cover Anti-Yellow Anti-Scratch Magnetic Case for iPhone 15 Pro Max 6.7"" Clear","SAR 49.99","4.4","https://www.amazon.sa//-/en/UGREEN-Shockproof-Protection%E3%80%9115-Anti-Yellow-Anti-Scratch/dp/B0C8TN3VH1/ref=zg_bs_g_electronics_d_sccl_1/262-0166267-2854325?psc=1","B0C8TN3VH1","https://images-eu.ssl-images-amazon.com/images/I/71IAkdkXbgL._AC_UL600_SR600,400_.jpg"
"#52","AlFanar 13A Cord Extension 3 Sockets 3 Meters with Overload protection for more safety","Price N/A","4.7","https://www.amazon.sa//-/en/AlFanar-Extension-Sockets-Overload-protection/dp/B09X5J7R6T/ref=zg_bs_g_electronics_d_sccl_2/262-0166267-2854325?psc=1","B09X5J7R6T","https://images-eu.ssl-images-amazon.com/images/I/71-rWXrVzpL._AC_UL600_SR600,400_.jpg"
"#53","Anker Powerline Ii LightningCable (3Ft), Probably The World'S Most Durable Cable, Mfi Certified For Iphone 11/11 Pro/11 Pro Max/XS/XS Max/Xr/X/8/8 Plus/7/7 Plus/6/6 Plus (White)","SAR 39.00","4.6","https://www.amazon.sa//-/en/Anker-Powerline-LightningCable-Probably-Certified/dp/B06XFK2H8Z/ref=zg_bs_g_electronics_d_sccl_3/262-0166267-2854325?psc=1","B06XFK2H8Z","https://images-eu.ssl-images-amazon.com/images/I/51oAgykRmvL._AC_UL600_SR600,400_.jpg"
"#54","soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, IPX5 Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App","SAR 67.99","4.3","https://www.amazon.sa//-/en/soundcore-Wireless-Bluetooth-Water-Resistant-Customization/dp/B0BTYCJXBK/ref=zg_bs_g_electronics_d_sccl_4/262-0166267-2854325?psc=1","B0BTYCJXBK","https://images-eu.ssl-images-amazon.com/images/I/41pycQ+2DUL._AC_UL600_SR600,400_.jpg"
"#55","حامل جوال للسيارة【2023 New Generation】Miracase Car Phone Holder, Long Arm Phone Holder Stand Car for Dashboard Windshield Air Vent【Heat-Resistant Strong Suction Cup】Compatible with All Smartphones","SAR 35.98","4.3","https://www.amazon.sa//-/en/%D9%84%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9%E3%80%902023-Generation%E3%80%91Miracase-Vent%E3%80%90Heat-Resistant-Cup%E3%80%91Compatible-Smartphones/dp/B0C273FR2T/ref=zg_bs_g_electronics_d_sccl_5/262-0166267-2854325?psc=1","B0C273FR2T","https://images-eu.ssl-images-amazon.com/images/I/712R8cf6tkL._AC_UL600_SR600,400_.jpg"
"#56","CRONY Quran LED Lamp with Speaker, SQ-102","SAR 69.90","4.2","https://www.amazon.sa//-/en/CRONY-Quran-Lamp-Speaker-SQ-102/dp/B08439C7T8/ref=zg_bs_g_electronics_d_sccl_6/262-0166267-2854325?psc=1","B08439C7T8","https://images-eu.ssl-images-amazon.com/images/I/61fr0ZD6AjL._AC_UL600_SR600,400_.jpg"
"#57","UGREEN Nexode GaN 65W USB C Charger, 7-in-1 DigiNest Cube Charger Station 4-Port USB Fast Charger Plug, Multiple Power Strip with 3 AC Outlets, 1.8M Extension Cord for Desktop, Home, Office, etc","SAR 159.20","4.6","https://www.amazon.sa//-/en/UGREEN-Charger-DigiNest-Multiple-Extension/dp/B0B3MRD4GV/ref=zg_bs_g_electronics_d_sccl_7/262-0166267-2854325?psc=1","B0B3MRD4GV","https://images-eu.ssl-images-amazon.com/images/I/51AFBLjhcLL._AC_UL600_SR600,400_.jpg"
"#58","UGREEN iPhone Charger Cable 2M[MFi Certified]USB C to Lightning Cable Fast Charging Braided Cord 20W Fast PD Charge for iPhone 14/14 Pro/14 Plus/14 Pro Max, ipad Pro, iPhone 8-13 All Series - Black","SAR 74.40","4.5","https://www.amazon.sa//-/en/UGREEN-Charger-Certified-Lightning-Charging/dp/B07Q4S17BH/ref=zg_bs_g_electronics_d_sccl_8/262-0166267-2854325?psc=1","B07Q4S17BH","https://images-eu.ssl-images-amazon.com/images/I/61V7no1DJaL._AC_UL600_SR600,400_.jpg"
"#59","UGREEN PD 20W USB C Charger Cable Set for iPhone 14 Pro Charger Cord Type C Fast Charging Wall Plug with iPhone Lightning Cable Compatible for iPhone 14 Pro/14 Pro Max/14 Plus/14/13/12/11/Xs, iPad Pro","SAR 63.20","4.5","https://www.amazon.sa//-/en/UGREEN-Charger-Charging-Lightning-Compatible/dp/B084JR94M3/ref=zg_bs_g_electronics_d_sccl_9/262-0166267-2854325?psc=1","B084JR94M3","https://images-eu.ssl-images-amazon.com/images/I/41yE1s0qt8L._AC_UL600_SR600,400_.jpg"
"#60","Sony Wh-1000Xm5 Noise Cancelling Wireless Headphones - 30 Hours Battery Life - Over-Ear Style - Optimised For Alexa And The Google Assistant - With Built-In Mic For Phone Calls - Black, L, WH1000XM5B","SAR 1,134.11","4.6","https://www.amazon.sa//-/en/Sony-Wh-1000Xm5-Cancelling-Wireless-Headphones/dp/B09ZFD9CBB/ref=zg_bs_g_electronics_d_sccl_10/262-0166267-2854325?psc=1","B09ZFD9CBB","https://images-eu.ssl-images-amazon.com/images/I/61BP0d2-0AL._AC_UL600_SR600,400_.jpg"
